iter	Passed	Remaining
669	109698	708946
670	109846	708683
671	110016	708557
672	110169	708326
673	110330	708144
674	110493	707979
675	110650	707770
676	110835	707740
677	110999	707583
678	111154	707359
679	111326	707247
680	111479	707020
681	111643	706854
682	111809	706708
683	111968	706516
684	112130	706343
685	112289	706145
686	112447	705945
687	112608	705767
688	112761	705538
689	112915	705310
690	113061	705039
691	113231	704914
692	113391	704728
693	113546	704511
694	113707	704333
695	113872	704176
696	114032	703993
697	114198	703843
698	114352	703618
699	114518	703473
700	114672	703251
701	114831	703053
702	114991	702868
703	115152	702692
704	115308	702479
705	115473	702324
706	115638	702169
707	115805	702030
708	115985	701967
709	116146	701787
710	116303	701580
711	116469	701435
712	116622	701209
713	116774	700971
714	116922	700714
715	117102	700651
716	117264	700478
717	117430	700329
718	117582	700097
719	117747	699945
720	117902	699730
721	118070	699589
722	118226	699384
723	118394	699246
724	118548	699027
725	118717	698895
726	118885	698759
727	119048	698594
728	119200	698362
729	119362	698188
730	119516	697970
731	119686	697843
732	119845	697655
733	120012	697511
734	120169	697311
735	120341	697193
736	120494	696974
737	120650	696764
738	120806	696559
739	120968	696383
740	121152	696338
741	121321	696206
742	121474	695985
743	121649	695887
744	121803	695671
745	121973	695546
746	122129	695339
747	122297	695199
748	122451	694980
749	122623	694866
750	122786	694701
751	122956	694571
752	123118	694403
753	123281	694236
754	123439	694040
755	123597	693847
756	123750	693624
757	123918	693486
758	124073	693274
759	124235	693102
760	124390	692893
761	124559	692759
762	124705	692501
763	124872	692356
764	125025	692136
765	125181	691931
766	125348	691784
767	125517	691654
768	125672	691445
769	125828	691239
770	125987	691054
771	126143	690847
772	126297	690631
773	126458	690455
774	126612	690241
775	126772	690061
776	126938	689911
777	127107	689777
778	127262	689567
779	127429	689424
780	127604	689324
781	127777	689212
782	127944	689072
783	128118	688962
784	128286	688824
785	128454	688686
786	128623	688554
787	128795	688432
788	128952	688238
789	129115	688073
790	129281	687923
791	129440	687734
792	129599	687545
793	129769	687418
794	129926	687221
795	130084	687026
796	130241	686833
797	130401	686650
798	130559	686460
799	130720	686285
800	130873	686064
801	131041	685926
802	131205	685763
803	131406	685799
804	131624	685919
805	131798	685811
806	131983	685757
807	132160	685662
808	132331	685537
809	132503	685419
810	132666	685254
811	132828	685083
812	132991	684916
813	133160	684780
814	133318	684586
815	133489	684459
816	133666	684367
817	133828	684196
818	133978	683962
819	134146	683820
820	134298	683598
821	134467	683462
822	134633	683308
823	134792	683124
824	134948	682921
825	135113	682766
826	135265	682540
827	135416	682314
828	135580	682154
829	135747	682009
830	135905	681818
831	136074	681683
832	136236	681509
833	136403	681361
834	136558	681155
835	136711	680941
836	136865	680729
837	137026	680553
838	137179	680338
839	137344	680180
840	137497	679968
841	137649	679744
842	137798	679513
843	137958	679333
844	138104	679081
845	138266	678912
846	138418	678689
847	138576	678502
848	138735	678318
849	138896	678141
850	139067	678014
851	139232	677857
852	139396	677700
853	139556	677516
854	139704	677281
855	139887	677211
